NO_IES,UF,CURSO,RAÇA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Enfermagem,BRANCA
