NO_IES,ESCOLARIDADE,UF,COR_RACA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,GRADUAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,ESPECILIZAÇÃO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,MESTRADO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,MESTRADO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,MESTRADO,DF,BRANCA
UNIVERSIDADE DE BRASÍLIA,MESTRADO,DF,BRANCA
