NO_IES,SEXO,UF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
UNIVERSIDADE DE BRASÍLIA,FEM,DF
