NO_IES,IN_REPOSITORIO_INSTITUCIONAL,UF
UNIVERSIDADE DE BRASÍLIA,SIM,DF
CENTRO UNIVERSITÁRIO DE BRASÍLIA,SIM,DF
UNIVERSIDADE CATÓLICA DE BRASÍLIA,SIM,DF
FACULDADES INTEGRADAS DA UPIS,SIM,DF
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,SIM,DF
FACULDADE DE ARTES DULCINA DE MORAES,NÃO,DF
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,SIM,GO
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,SIM,MG
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,NÃO,DF
FACULDADE CNEC UNAÍ,SIM,MG
CENTRO UNIVERSITÁRIO EURO-AMERICANO,SIM,DF
FACULDADE ANHANGUERA DE BRASÍLIA,SIM,DF
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,NÃO,GO
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,SIM,DF
FACULDADE ERICH FROMM,NÃO,DF
CENTRO UNIVERSITARIO PROJEÇÃO,SIM,DF
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,SIM,GO
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,SIM,DF
Faculdade Projeção de Sobradinho,SIM,DF
FACULDADE SOBRESP DE CRISTALINA,SIM,GO
Faculdade Unibras Gama,SIM,DF
FACULDADE AIEC,NÃO,DF
FACULDADE ALBERT EINSTEIN,SIM,DF
FACULDADE UNIÃO DE GOYAZES FORMOSA,NÃO,GO
Centro Universitário Processus,NÃO,DF
FACULDADE ANHANGUERA DE VALPARAÍSO,SIM,GO
REAL FACULDADE DE BRASÍLIA,NÃO,DF
FACULDADE PROJEÇÃO DO GUARÁ,SIM,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,NÃO,DF
Centro Universitário LS,SIM,DF
FACULDADE TEOLÓGICA BATISTA DE BRASÍLIA,SIM,DF
Centro Universitário ICESP,SIM,DF
FACULDADES INTEGRADAS IESGO,SIM,GO
FACULDADE EVANGÉLICA DE GOIANÉSIA,SIM,GO
FACULDADE IBRA DE BRASÍLIA,SIM,DF
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA,SIM,DF
FACULDADE MAUÁ DE GOIÁS,SIM,GO
FACULDADE CCI,SIM,DF
FACULDADE ICESP,SIM,DF
FACULDADE APOGEU,NÃO,DF
Faculdade de Tecnologia e Inovação Senac DF,NÃO,DF
FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ,SIM,MG
CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,SIM,DF
Faculdade Unibras Brasília,SIM,DF
"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília",SIM,DF
FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA,NÃO,DF
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",SIM,DF
FACULDADE HORIZONTE,SIM,DF
Instituto Superior de Ciencias Policiais,SIM,DF
Faculdade ANASPS,SIM,DF
Faculdade de Tecnologia CNA,NÃO,DF
FACULDADE LOGOS,SIM,GO
FACULDADE LIFE,NÃO,GO
ENSINO SUPERIOR ALBERT SABIN,SIM,DF
Faculdade FILOS,SIM,GO
FACULDADE FASIPE DF,SIM,DF
FACULDADE PRESBITERIANA MACKENZIE BRASILIA,SIM,DF
FACULDADE ATAME,SIM,DF
Escola de Políticas Públicas e Governo da Fundação Getulio Vargas,SIM,DF
Faculdade Uninassau Brasília,SIM,DF
Faculdade de Tecnologia Ícone,SIM,DF
Faculdade Republicana,NÃO,DF
FACULDADE CATEDRAL,SIM,GO
Faculdades Planalto Central,SIM,DF
FTRB - Faculdade Teológica Reformada de Brasília,NÃO,DF
Instituto Superior da Convenção Nac. das Assembleias de Deus,SIM,DF
Faculdade Cerrado,SIM,DF
Faculdade Nossa Senhora Aparecida,SIM,GO
Faculdade de Ciências Jurídicas de Luziânia,SIM,GO
Faculdade Brasília,SIM,DF
Faculdade UNIABA,SIM,DF
Faculdade Ibmec de Brasília,SIM,DF
FACULDADE DE TECNOLOGIA E EDUCAÇÃO SUPERIOR E PROFISSIONALIZ,NÃO,GO
"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",NÃO,DF
Faculdade de Minas EAD,SIM,DF
Faculdade Fraga de Integração da Cultura Educação e Pesquisa,SIM,GO
Faculdade Guerra,SIM,DF
FACULDADE ANCLIVEPA BRASÍLIA,SIM,DF
Instituto Aria,SIM,DF
Faculdade Comunidade das Nações,NÃO,DF
UNIVERSIDADE DO DISTRITO FEDERAL,SIM,DF
COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS GOVERNADOR OTÁVIO LAG,NÃO,GO
