NO_IES,UF
UNIVERSIDADE DE BRASÍLIA,DF
CENTRO UNIVERSITÁRIO DE BRASÍLIA,DF
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF
FACULDADES INTEGRADAS DA UPIS,DF
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,DF
FACULDADE DE ARTES DULCINA DE MORAES,DF
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,GO
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU,MG
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,DF
FACULDADE CNEC UNAÍ,MG
CENTRO UNIVERSITÁRIO EURO-AMERICANO,DF
FACULDADE ANHANGUERA DE BRASÍLIA,DF
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,GO
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,DF
FACULDADE ERICH FROMM,DF
CENTRO UNIVERSITARIO PROJEÇÃO,DF
FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES,GO
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,DF
Faculdade Projeção de Sobradinho,DF
FACULDADE SOBRESP DE CRISTALINA,GO
Faculdade Unibras Gama,DF
FACULDADE AIEC,DF
FACULDADE ALBERT EINSTEIN,DF
FACULDADE UNIÃO DE GOYAZES FORMOSA,GO
Centro Universitário Processus,DF
FACULDADE ANHANGUERA DE VALPARAÍSO,GO
REAL FACULDADE DE BRASÍLIA,DF
FACULDADE PROJEÇÃO DO GUARÁ,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,DF
Centro Universitário LS,DF
FACULDADE TEOLÓGICA BATISTA DE BRASÍLIA,DF
Centro Universitário ICESP,DF
FACULDADES INTEGRADAS IESGO,GO
FACULDADE EVANGÉLICA DE GOIANÉSIA,GO
FACULDADE IBRA DE BRASÍLIA,DF
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA,DF
FACULDADE MAUÁ DE GOIÁS,GO
FACULDADE CCI,DF
FACULDADE ICESP,DF
FACULDADE APOGEU,DF
Faculdade de Tecnologia e Inovação Senac DF,DF
FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ,MG
CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,DF
Faculdade Unibras Brasília,DF
"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília",DF
FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA,DF
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA",DF
FACULDADE HORIZONTE,DF
Instituto Superior de Ciencias Policiais,DF
Faculdade ANASPS,DF
Faculdade de Tecnologia CNA,DF
FACULDADE LOGOS,GO
FACULDADE LIFE,GO
ENSINO SUPERIOR ALBERT SABIN,DF
Faculdade FILOS,GO
FACULDADE FASIPE DF,DF
FACULDADE PRESBITERIANA MACKENZIE BRASILIA,DF
FACULDADE ATAME,DF
Escola de Políticas Públicas e Governo da Fundação Getulio Vargas,DF
Faculdade Uninassau Brasília,DF
Faculdade de Tecnologia Ícone,DF
Faculdade Republicana,DF
FACULDADE CATEDRAL,GO
Faculdades Planalto Central,DF
FTRB - Faculdade Teológica Reformada de Brasília,DF
Instituto Superior da Convenção Nac. das Assembleias de Deus,DF
Faculdade Cerrado,DF
Faculdade Nossa Senhora Aparecida,GO
Faculdade de Ciências Jurídicas de Luziânia,GO
Faculdade Brasília,DF
Faculdade UNIABA,DF
Faculdade Ibmec de Brasília,DF
FACULDADE DE TECNOLOGIA E EDUCAÇÃO SUPERIOR E PROFISSIONALIZ,GO
"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",DF
Faculdade de Minas EAD,DF
Faculdade Fraga de Integração da Cultura Educação e Pesquisa,GO
Faculdade Guerra,DF
FACULDADE ANCLIVEPA BRASÍLIA,DF
Instituto Aria,DF
Faculdade Comunidade das Nações,DF
UNIVERSIDADE DO DISTRITO FEDERAL,DF
COLÉGIO TECNOLÓGICO DO ESTADO DE GOIÁS GOVERNADOR OTÁVIO LAG,GO
